Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,Schedule,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
502,LANGLEY CENTRE/SURREY CENTRAL STN,South of Fraser,Std. Bus,All Day Frequent,"61,000","31,000",http://infomaps.translink.ca/Public_Timetables/148/tt502.pdf,400m,18.1,,"- Fall 2016, Truncate 502 Brookswood trips at Langley Centre; remove peak-only trips to/from Brookswood","- April 2017, Increase service from 8-10 to 7-9m during AM/PM peak (M-F); Increase service from 15 to 12m from 900-1200 and 1700-1900 (Sat); Extend 30m service until 2600 (M-F; Sat)",0,0,0,0,0,0,0
503,ALDERGROVE/SURREY CENTRAL STN,South of Fraser,Std. Bus,Standard,"67,000","36,000",http://infomaps.translink.ca/Public_Timetables/148/tt503.pdf,400m,32.8,,"- Summer 2014, Service introduction, express service between Surrey Ctr and Langley Ctr and local service from Langley to Aldergrove",0,0,0,0,0,0,0,0
509,WALNUT GROVE/SURREY CENTRAL STN,South of Fraser,Std. Bus,Peak Only Limited,"53,000","19,000",http://infomaps.translink.ca/Public_Timetables/148/tt509.pdf,400m,21.7,,0,0,0,0,0,0,0,0,0
531,WHITE ROCK CENTRE/WILLOWBROOK,South of Fraser,Std. Bus,Standard,"47,000","30,000",http://infomaps.translink.ca/Public_Timetables/148/tt531.pdf,400m,22.8, Data reflects new connection to Langley Centre in Sep 2016 ,0,"- Fall 2016, Add two NB trips starting at 40th Ave & 204th St at 5hr (M-F)","- Fall 2016, Revise route to serve Langley Centre via 64th Ave and 56th Ave",0,0,0,0,0,0
555,CARVOLTH EXCH / LOUGHEED STN,South of Fraser,Std. Bus,Peak Frequent,"19,000","8,000",http://infomaps.translink.ca/Public_Timetables/148/tt555.pdf,400m,21.8,,"- Fall 2014, Add in 5 trips between 6-8hr (M-F); reroute to serve new stop at 156th Street.","- Winter 2014, Add in two trips between 15-16hr (M-F)","- Summer 2015, Add two trips from 22-23hr (all days)","- Summer 2015, Revise western terminus from Braid to Lougheed Town Centre","- April 2017, Increase service from 6-15 to 5-10m from 6-800 and 1500-2000 (M-F)","- Winter 2017, Increase service 06:00-07:00 from every 8 to 6 min, 07:00-08:00 from every 6 to 5 min, and 08:00-09:00 from every 10 to 7.5 min (M-F)","- Fall 2018, Increase service 09:00-14:00 from every 30 to 20 min (M-F); Increase service 10:00-17:00 from every 30 to 20 min (Sat)",0,0
560/561,LANGLEY CENTRE/LANGLEY HOSPITAL?BROOKSWOOD,South of Fraser,Mini-Bus,Basic,"8,000","2,000",http://infomaps.translink.ca/Public_Timetables/148/tt560.pdf; http://infomaps.translink.ca/Public_Timetables/148/tt560.pdf,400m,10.7, 560/561 run as a connected loop; No data sampling 2014 ,"- Summer 2018, Introduce new routes, route 560 replaces eastern portion of C60 and C61 between Langley Centre and 48 Ave/208 St, route 561 replaces western portion of C60 and C61 between Langley Centre and 48 Ave/208 St",0,0,0,0,0,0,0,0
562,LANGLEY CENTRE/WALNUT GROVE,South of Fraser,Mini-Bus,Basic,"31,000","13,000",http://infomaps.translink.ca/Public_Timetables/148/tt562.pdf,400m,20.4, No data sampling 2014 ,"- Summer 2018, Change route name from C62 to 562",0,0,0,0,0,0,0,0
563,LANGLEY CENTRE/FERNRIDGE,South of Fraser,Mini-Bus,Basic,"22,000","8,000",http://infomaps.translink.ca/Public_Timetables/148/tt563.pdf,400m,12.4, No data sampling 2014 ,- Revise route so all trips operate via 208 St between 40 Ave and Grade Crescent,"- June 2017, Increase NB service from 60 to 30m during AM peak (M-F)","- Summer 2018, Change route name from C63 to 563",0,0,0,0,0,0
564,LANGLEY CENTRE/WILLOWBROOK,South of Fraser,Mini-Bus,Basic,"19,000","17,000",http://infomaps.translink.ca/Public_Timetables/148/tt564.pdf,400m,10.8, No data sampling 2014 ,"- Summer 2018, Change route name from C64 to 564",0,0,0,0,0,0,0,0
595,MAPLE MEADOWS STN/LANGLEY CENTRE,South of Fraser,Std. Bus,Standard,"25,000","21,000",http://infomaps.translink.ca/Public_Timetables/148/tt595.pdf,400m,16.5, Data reflects new service area to Willoughby in Sep 2016 ,"- Fall 2016, Reroute from 200th St to 208th St btw Langley Centre and Carvolth Exchange","- December 2016, Discontinue express bus service and reintroduce all local stops to route",0,0,0,0,0,0,0
