Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,Schedule,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
2,MACDONALD/DOWNTOWN,Vancouver/UBC,Std. Bus,All Day Frequent,"82,000","110,000",http://infomaps.translink.ca/Public_Timetables/148/tt002.pdf,400m,8.6, Data reflects service redesign with 022 in summer 2016 ,"- Summer 2016, Split 022 at Burrard Station; west side of 022 route and schedule incorporated into 002","- Summer 2016, reduce service due to efficiencies with combined 002/022 schedules (all days)",0,0,0,0,0,0,0
3,MAIN/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,"80,000","106,000",http://infomaps.translink.ca/Public_Timetables/148/tt003.pdf,400m,10,,"- Fall 2015, Increase freq from 30 to 20m from 2430-2530hr (M-F)",0,0,0,0,0,0,0,0
4,POWELL/DOWNTOWN/UBC,Vancouver/UBC,Std. Trolley,Peak Frequent,"122,000","167,000",http://infomaps.translink.ca/Public_Timetables/148/tt004.pdf,400m,14.2,,0,0,0,0,,0,0,0,0
005/006,ROBSON?DAVIE/DOWNTOWN,Vancouver/UBC,Std. Trolley,All Day Frequent,"109,000","131,000",http://infomaps.translink.ca/Public_Timetables/148/tt005.pdf; http://infomaps.translink.ca/Public_Timetables/148/tt006.pdf,400m,3.4, 005/006 run as a connected loop; data reflects service redesign with 023 in Dec 2016 ,"- December 2016, Reroute from Granville to Cambie with new terminus at Cambie and Dunsmuir to meet route 5 (all days)","- June 2017, Add one WB trip from Yaletown Stn around 0640 (M-F)","- Fall 2016, Permanent reroute of 005 btwn Burrard and Granville due to closure of the 800-block of Robson St","- December 2016, Reroute terminus from Pender and Robson along Pender to Cambie and Dunsmuir to meet route 6 (all days)","- Winter 2017, Extend one morning trip to SFU to close gap with N35 (All days); Increase service 07:00-09:00 from 5-6 to 4.5-5 min, 16:00-19:00 from 7.5-12 to 6-8.5 min, and 19:00-23:00 from 15 to 12 min (M-F); Increase service 16:00-25:00 from 12-20 to 10-15 min (Sat); Increase service 09:00-14:00 from 15 to 12 min (Sun); Introduce all-door boarding",0,0,0,0
7,NANAIMO STN/DUNBAR,Vancouver/UBC,Std. Trolley,Standard,"148,000","147,000",http://infomaps.translink.ca/Public_Timetables/148/tt007.pdf,400m,15.7,,0,0,0,0,0,0,0,0,0
8,FRASER/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,"83,000","104,000",http://infomaps.translink.ca/Public_Timetables/148/tt008.pdf,400m,8.9,,0,0,0,0,0,0,0,0,0
9,BOUNDARY/COMM'L-BDWAY STN/GRANVILLE/ALMA/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent,"118,000","86,000",http://infomaps.translink.ca/Public_Timetables/148/tt009.pdf,400m,10.5,,0,0,0,0,0,0,0,0,0
10,GRANVILLE/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,"101,000","135,000",http://infomaps.translink.ca/Public_Timetables/148/tt010.pdf,400m,10.5,,0,0,0,0,0,0,0,0,0
14,HASTINGS/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent,"142,000","174,000",http://infomaps.translink.ca/Public_Timetables/148/tt014.pdf,400m,13.2,,"- Fall 2015, Increase freq from 20 to 15m from 2400-2530hr (M-F)",0,,0,0,0,0,0,0
015/050,CAMBIE/OLYMPIC VLG STN ? WATERFRONT STN/FALSE CREEK S,Vancouver/UBC,Std. Bus,Standard,"62,000","50,000",http://infomaps.translink.ca/Public_Timetables/148/tt015.pdf; http://infomaps.translink.ca/Public_Timetables/148/tt050.pdf,400m,6.7, 015/050 run as a connected route ,0,0,0,0,0,0,0,0,0
16,29TH AVE STN/ARBUTUS,Vancouver/UBC,Std. Trolley,All Day Frequent,"158,000","175,000",http://infomaps.translink.ca/Public_Timetables/148/tt016.pdf,400m,17.5,,0,0,0,0,0,0,0,0,0
17,OAK/DOWNTOWN,Vancouver/UBC,Std. Trolley,All Day Frequent,"81,000","122,000",http://infomaps.translink.ca/Public_Timetables/148/tt017.pdf,400m,10.6,,"- Spring 2014, Reduce freq from 10 to 15m 18-20hr & from 15 to 20m 20-22hr (M-F)",0,0,0,0,0,0,0,0
19,METROTOWN STN/STANLEY PARK,Vancouver/UBC,Std. Trolley,All Day Frequent,"140,000","144,000",http://infomaps.translink.ca/Public_Timetables/148/tt019.pdf,400m,13.4,,0,0,0,0,0,0,0,0,0
20,VICTORIA/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,"96,000","101,000",http://infomaps.translink.ca/Public_Timetables/148/tt020.pdf,400m,9.8,,"- Summer 2018, Improve downtown layover",0,,0,0,0,0,0,0
22,KNIGHT/DOWNTOWN,Vancouver/UBC,Std. Bus,All Day Frequent,"101,000","136,000",http://infomaps.translink.ca/Public_Timetables/148/tt022.pdf,400m,10.4, Data reflects service redesign with 002 in summer 2016 ,"- Summer 2016, Split 022 at Burrard Station; 022 now operates btw downtown and Knight/Marine and rest of route combined with 002","- Summer 2016, reduce service due to efficiencies with split 002/022 schedule (all days)",0,0,0,0,0,0,0
23,MAIN ST STN/YALETOWN/BEACH,Vancouver/UBC,Mini-Bus,All Day Frequent,"75,000","40,000",http://infomaps.translink.ca/Public_Timetables/148/tt023.pdf,400m,5.5, Data reflects service redesign with 005/006 in Dec 2016 ,"- December 2016, Introduce new route btwn Main St Science World Stn and Davie and Denman to replace former C21 and C23","- April 2017, Discontinue short-turn trips btwn Main St and Yaletown; Operate all trips btwn Main St and Davie & Denman (M-F)","- Fall 2018, Increase service 07:30-09:00 from every 7-8 to 6-7 min (M-F), and 09:00-10:00 from every 12 to 10 min (M-F)","- Winter 2018, Increase service 19:00-20:30 from every 12 to 15 min (M-F)",0,0,0,0,0
25,BRENTWOOD STN/UBC,Vancouver/UBC,Std. Bus,All Day Frequent,"96,000","30,000",http://infomaps.translink.ca/Public_Timetables/148/tt025.pdf,400m,22.4,,"- September 2017, Increase service from 5-10 to 4-8m during AM/PM peak (M-F); Increase service from 60 to 30m from 0500-0600, from 12 to 10m from 0800-0900, and from 15 to 12m from 1900-2000 (Sat)","- Fall 2018, Increase service 07:20-08:00 EB and 08:00-09:00 from every 6 to 4 min (M-F)",0,0,0,0,0,0,0
26,JOYCE STN/29TH AVE STN,Vancouver/UBC,Std. Bus,Peak Frequent,"59,000","5,000",http://infomaps.translink.ca/Public_Timetables/148/tt026.pdf,400m,10.7,,"- Summer 2016, Reroute to service Champlain Heights via Tyne and Arlington St",0,,0,0,0,0,0,0
27,KOOTENAY LOOP/JOYCE STN,Vancouver/UBC,Std. Bus,Peak Frequent,"54,000","16,000",http://infomaps.translink.ca/Public_Timetables/148/tt027.pdf,400m,6.1,,0,0,0,0,0,0,0,0,0
28,CAPILANO U/PHIBBS EXCH/JOYCE STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,"58,000","24,000",http://infomaps.translink.ca/Public_Timetables/148/tt028.pdf,400m,12.1,,"- Spring 2014, Reduce freq from 15 to 20m from 9-19hr (Sat); 11-17hr (S/H)","- Winter 2018, Extend 07:20 NB trip to Cap U from Phibbs Exch (M-F)",,,0,0,0,0,0
29,ELLIOTT/29TH AVE STN,Vancouver/UBC,Std. Bus,Peak Frequent,"30,000","2,000",http://infomaps.translink.ca/Public_Timetables/148/tt029.pdf,400m,4.4,,0,0,0,0,0,0,0,0,0
32,DUNBAR/DOWNTOWN,Vancouver/UBC,Std. Bus,Peak Only Limited,"83,000","108,000",http://infomaps.translink.ca/Public_Timetables/148/tt032.pdf,400m,9.9,,0,0,0,0,0,0,0,0,0
33,29TH AVE STN/UBC,Vancouver/UBC,Std. Bus,Peak Frequent,"87,000","11,000",http://infomaps.translink.ca/Public_Timetables/148/tt033.pdf,400m,17.4,,0,0,0,0,0,0,0,0,0
41,JOYCE STN/CROWN/UBC,Vancouver/UBC,Std. Bus,All Day Frequent,"87,000","17,000",http://infomaps.translink.ca/Public_Timetables/148/tt041.pdf,400m,16.1,,"- Summer 2014, Increase freq from 10 to 7.5m 6-11hr (Sat) & 9-18hr (S/H); from 15 to 12m 18-20hr (Sat) & 18-21hr (S/H)","- Summer 2016, Remove one trip per hour from 7-10hr & 16-19hr (M-F)","- Fall 2018, Decrease service 09:00-15:00 from every 6-9 to 7-10 min (M-F)",0,0,0,0,0,0
42,ALMA/SPANISH BANKS,Vancouver/UBC,Mini-Bus,Special,"14,000","3,000",http://infomaps.translink.ca/Public_Timetables/148/tt042.pdf,400m,, Route is summer seasonal only ,"- Spring 2016, Truncate route to Spanish Banks (from UBC); Increase service to every 30 min (Sat & S/H)","- Spring 2018, Change route name from C19 to 42",0,0,0,0,0,0,0
43,JOYCE STN/UBC,Vancouver/UBC,Artic. Bus,Peak Frequent,"71,000","15,000",http://infomaps.translink.ca/Public_Timetables/148/tt043.pdf,400m,18.9,,"- Summer 2016, Add one trip per hour from 7-10hr & 16-19hr (M-F); adjust stopping pattern to improve travel times","- September 2017, Introduce 15m service from 0900-1500 (M-F)","- Fall 2018, Increase service during AM peak from every 8-30 to 7-20 min, 09:00-15:00 from every 15 to 10 min (M-F), and during PM peak from every 10 to 9 min; Introduce new service span 19:00-21:00 running every 15 min, and 21:00-22:00 running every 30 min (M-F)",0,0,0,0,0,0
44,UBC/DOWNTOWN,Vancouver/UBC,Artic. Bus,Peak Frequent,"72,000","119,000",http://infomaps.translink.ca/Public_Timetables/148/tt044.pdf,400m,12,,"- Summer 2018, Remove five stops within downtown to make it express",0,0,0,0,0,0,0,0
49,METROTOWN STN/DUNBAR LOOP/UBC,Vancouver/UBC,Artic. Bus,All Day Frequent,"91,000","24,000",http://infomaps.translink.ca/Public_Timetables/148/tt049.pdf,400m,20.5,,"- Summer 2014, Increase freq from 12 to 10m from 18-21hr & from 30 to 20m from 21-24hr (Sat)","- Winter 2014, Increase freq from 15 to 12m from 8-930hr (Sat)","- Spring 2015, Extend all midday trips to UBC (M-F)","- Summer 2016, Remove Champlain Heights route deviation; revise route to travel on 49th Ave between Kerr and Tyne ","- Fall 2016, Convert vehicle from conventional 40' bus to articulated 60' bus; extend all trips to UBC; reduce frequency to 12m (Sat, S/H); ",   overall increase in capacity,"- September 2017, Increase service from 6-15 to 5-12m from 0600-1900 (M-F); Reroute service near Metrotown single direction around Imperial, Central, and Willingdon",0,0
068/070,UBC EXCH/WEST MALL? WESBROOK MALL,Vancouver/UBC,Mini-Bus,Standard,"16,000","18,000",http://infomaps.translink.ca/Public_Timetables/148/tt068.pdf; http://infomaps.translink.ca/Public_Timetables/148/tt070.pdf,400m,3.7, 068/070 run as a connected loop; Limited data sampling 2015 ,"- Spring 2018, Introduce new routes, route 068 replaces eastern portion of C18 and C20 between UBC Exchange and Thunderbird Blvd/Larkin Dr, route 070 replaces western portion of C18 and C20 between UBC exchange and Thunderbird Blvd/Eagles Dr",0,0,0,0,0,0,0,0
84,UBC/VCC-CLARK STN,Vancouver/UBC,Std. Bus,Peak Frequent,"69,000","44,000",http://infomaps.translink.ca/Public_Timetables/148/tt084.pdf,400m,13.7,,"- September 2017, Increase service from 7-12 to 6-10m during AM/PM peak (M-F)",0,0,0,0,0,0,0,0
95,SFU/BURRARD STN (B-LINE),Burnaby/New Westminster,Artic. Bus,All Day Frequent,"78,000","123,000",http://infomaps.translink.ca/Public_Timetables/148/tt095.pdf,400m,17.8, Data reflects former 135 route up to Dec 2016 ,"- December 2016, Introduce new 5-15m B-Line service with limited stops along former 135 route","- Winter 2017, Extend one morning trip to SFU to close gap with N35 (All days); Increase service 07:00-09:00 from 5-6 to 4.5-5 min, 16:00-19:00 from 7.5-12 to 6-8.5 min, and 19:00-23:00 from 15 to 12 min (M-F); Increase service 16:00-25:00 from 12-20 to 10-15 min (Sat); Increase service 09:00-14:00 from 15 to 12 min (Sun); Introduce all-door boarding",0,0,0,0,0,0,0
96,GUILDFORD EXCH/NEWTON EXCH (B-LINE),South of Fraser,Artic. Bus,All Day Frequent,"57,000","29,000",http://infomaps.translink.ca/Public_Timetables/148/tt096.pdf,400m,10.8,,"- Spring 2014, Convert weekend trips from 60' articulated bus to conventional 40' bus","- Spring 2014, Two bi-directional stops added to improve transfers (King George at 80th Ave & 104th Ave at 140th Ave)","- Summer 2014, Reduce freq from 7.5 to 8m from 7-23hr (M-F, Sat, S/H)","- Winter 2017, Introduce all-door boarding",0,0,0,0,0
99,COMMERCIAL-BROADWAY STN/UBC (B-LINE),Vancouver/UBC,Artic. Bus,All Day Frequent,"97,000","66,000",http://infomaps.translink.ca/Public_Timetables/148/tt099.pdf,400m,14.1,,"- Summer 2014, Increase freq from 10 to 7.5m from 8-9hr, 8-10 to 6m from 9-10hr & 10 to 7.5m from 17-20hr (Sat)","- Summer 2014, Increase freq from 6-8 to 5m btw 18-20hr; from 8-10 to 6m btw 20-21hr; & from 10 to 7-8m from 21-22hr (M-F)","- Winter 2017, Increase service 07:00-11:00 from every 6-12 to 5.5-10 min, 15:00-19:00 from every 6-7.5 to 5.5-7 min, and 22:00-23:00 from every 10 to 8.5 min (Sat); Increase service 07:00-11:00 from every 7.5-15 to 7.5-12 min, and 13:00-19:00 from every 10 to 8.5 min (Sun)",0,0,0,0,0,0
100,22ND ST STN/MARPOLE,Vancouver/UBC,Std. Bus,All Day Frequent,"56,000","16,000",http://infomaps.translink.ca/Public_Timetables/148/tt100.pdf,400m,15.4,,"- Summer 2015, Increase freq from 12 to 10m during AM/PM peak (M-F)","- Fall 2018, Increase service during AM and PM peak from every 9 to 7 min",,,0,0,0,0,0
101,LOUGHEED STN/22ND ST STN,Burnaby/New Westminster,Std. Bus,Standard,"71,000","17,000",http://infomaps.translink.ca/Public_Timetables/148/tt101.pdf,400m,11.3,,0,0,0,0,0,0,0,0,0
103,QUAYSIDE/VICTORIA HILL,Burnaby/New Westminster,Mini-Bus,All Day Frequent,"22,000","7,000",http://infomaps.translink.ca/Public_Timetables/148/tt103.pdf,400m,4.2, Data reflects service redesign in Apr 2016; Previously both C3 and C8 ,"- Spring 2016, Increase freq from 15 to 12m during AM/PM peak btwn New West Stn and Victoria Hill (M-F)","- Spring 2016, Increase freq from 30 to 15m from 7-21hr (Sat) & 8-20hr (S/H) btwn New West Stn and Victoria Hill","- Spring 2016, Discontinue service btwn New West Stn and Quayside after 21hr (all days)","- Spring 2016, Discontinue C8 (Quayside) and merge with C3; revise eastern terminus to Victoria Hill","- April 2017, Extend 30m service to 2400 (all days)","- Winter 2017, Operate route by CMBC (all days)","- Spring 2018, Increase service during AM and PM peaks from every 12 to 10 min (M-F)","- Fall 2018, Change route name from C3 to 103",0
104,22ND ST STN/ANNACIS ISLAND,South of Fraser,Std. Bus,Peak Frequent,"10,000","13,000",http://infomaps.translink.ca/Public_Timetables/148/tt104.pdf,400m,10.5,,"- Spring 2016, Add one bus during AM & PM peak for Pattullo Bridge Rehabilitation (M-F)","- Fall 2016, End of Pattullo Bridge Rehabilitation; return to regular service levels (remove one bus during AM & PM peak)","- Fall 2018, Extend service span so that service is provided until 25:00 instead of 20:00",0,0,0,0,0,0
105,UPTOWN/NEW WEST STN,Burnaby/New Westminster,Mini-Bus,Standard,"32,000","12,000",http://infomaps.translink.ca/Public_Timetables/148/tt105.pdf,400m,6.5,,"- Spring 2016, Revise route to connect to Royal Square via 2nd St, 6th Ave, Cumberland St, and 8th Ave","- April 2017, Extend 30m service to 2400 (all days)","- Winter 2017, Operate route by CMBC (all days)","- Fall 2018, Change route name from C4 to 105",0,0,0,0,0
106,NEW WEST STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,"50,000","14,000",http://infomaps.translink.ca/Public_Timetables/148/tt106.pdf,400m,11.5, Data reflects split with 119 in Dec 2017 ,"- Winter 2017, Former 106 route split at Edmonds Station, this route serves Edmonds Station to New Westminster Station",0,0,0,0,,0,0,0
109,NEW WEST STN/LOUGHEED STN,Burnaby/New Westminster,Mini-Bus,Basic,"39,000","17,000",http://infomaps.translink.ca/Public_Timetables/148/tt109.pdf,400m,7.2,,"- Fall 2014, Reduce freq from 30 to 60m from 5-7hr, 9-15hr, 18-1hr (M-F) & all day (Sat, S/H)","- Spring 2016, Reroute southbound C9 service via Richmond St and Jamieson Ct","- Fall 2016, Temporary reroute to provide coverage on Richmond and Cumberland St until bus-only turn signal is active","- April 2017, Reroute via Cumberland from Columbia","- Fall 2018, Change route name from C9 to 109",0,0,0,0
110,LOUGHEED STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Standard,"69,000","29,000",http://infomaps.translink.ca/Public_Timetables/148/tt110.pdf,400m,16.7,,0,0,0,0,0,0,0,0,0
112,EDMONDS STN/NEW WEST STN,Burnaby/New Westminster,Std. Bus,Standard,"91,000","28,000",http://infomaps.translink.ca/Public_Timetables/148/tt112.pdf,400m,5,,0,0,0,0,0,0,0,0,0
116,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Standard,"50,000","28,000",http://infomaps.translink.ca/Public_Timetables/148/tt116.pdf,400m,15,,"- Winter 2014, Reroute service from Byrne Road to eastern portion of North Fraser Way to serve growing business area","- September 2017, Reroute service near Metrotown single direction around Imperial, Central, and Willingdon","- Fall 2018, Increase service during AM peak from every 15-30 to 12-20 min","- Winter 2018, Increase service 15:00-17:00 from every 20 to 15 min (M-F)",0,0,0,0,0
119,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,"60,000","21,000",http://infomaps.translink.ca/Public_Timetables/148/tt119.pdf,400m,, Data reflects split with 106 in Dec 2017; See 106 for earlier data ,"- Winter 2017, Former 106 route split at Edmonds Station, this route serves Edmonds Station to Metrotown Station","- Spring 2018, Increase service to same levels as prior to 106/119 route split",0,0,0,0,0,0,0
123,NEW WEST STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,"53,000","29,000",http://infomaps.translink.ca/Public_Timetables/148/tt123.pdf,400m,10.9,,"- Fall 2018, Increase service during PM peak from every 12 to 10 min",0,,0,0,0,0,0,0
125,PATTERSON STN/BCIT,Burnaby/New Westminster,Std. Bus,Peak Only Limited,"23,000","16,000",http://infomaps.translink.ca/Public_Timetables/148/tt125.pdf,400m,3.7,,0,0,0,0,0,0,0,0,0
128,BRAID STN/22ND STREET STN,Burnaby/New Westminster,Std. Bus,Standard,"26,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt128.pdf,400m,7,,"- Winter 2017, Increase service 09:00-15:00 from every 30 to 20 min (M-F)",0,0,,0,0,0,0,0
129/133,PATTERSON STN/HOLDOM STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,"106,000","44,000",http://infomaps.translink.ca/Public_Timetables/148/tt129.pdf; http://infomaps.translink.ca/Public_Timetables/148/tt133.pdf,400m,20.4, 129/133 run as a connected route ,"- Spring 2014, Reduce freq from 12 to 15m during AM/PM peak (M-F)","- Summer 2015, Revise western terminus from Metrotown Station to Patterson Station for station upgrades","- Spring 2018, Former 129 route split at Holdom Station, route 129 serves Holdom Station to Patterson Station, route 133 serves Holdom Station to Edmonds Station
- Route 129: Extend first trip on Saturdays and first two trips on Sundays to start at Metrotown instead of Patterson",0,0,0,0,0,0
130,METROTOWN STN/KOOTENAY/PHIBBS EXCH/CAPILANO U,Burnaby/New Westminster,Std. Bus,All Day Frequent,"70,000","36,000",http://infomaps.translink.ca/Public_Timetables/148/tt130.pdf,400m,9.3,,"- Spring 2014, Reduce freq from 15 to 30m from 22hr to end of service (M-F); last Metrotown departure adjusted to meet SkyTrain","- September 2017, Increase service from 7-8 to 6-7m during AM/PM peak (M-F); Increase service from 15-20 to 12-15m from 1800-2200 (Sat)","- Winter 2017, Increase service 21:00-22:00 from every 20 to 15 min (Sat)",0,0,0,0,0,0
131,HASTINGS AT GILMORE/KOOTENAY LOOP,Burnaby/New Westminster,Mini-Bus,Basic,"15,000","3,000",http://infomaps.translink.ca/Public_Timetables/148/tt131.pdf,400m,4.5,,"- Spring 2018, Change route name from C1 to 131",0,,0,0,0,0,0,0
132,CAPITOL HILL/HASTINGS AT GILMORE,Burnaby/New Westminster,Mini-Bus,Basic,"13,000","3,000",http://infomaps.translink.ca/Public_Timetables/148/tt132.pdf,400m,3.7,,"- Spring 2018, Change route name from C2 to 132",0,0,0,0,0,0,0,0
134,LAKE CITY STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,Standard,"37,000","10,000",http://infomaps.translink.ca/Public_Timetables/148/tt134.pdf,400m,12.1,,0,0,0,0,0,0,0,0,0
136,LOUGHEED STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,Standard,"48,000","17,000",http://infomaps.translink.ca/Public_Timetables/148/tt136.pdf,400m,13.7,,0,0,0,0,0,0,0,0,0
143,BURQUITLAM STN/SFU,Northeast Sector,Artic. Bus,Peak Frequent,"20,000","3,000",http://infomaps.translink.ca/Public_Timetables/148/tt143.pdf,400m,7, Data reflects Evergreen Extension changes in Dec 2016 ,"- Fall 2014, Increase freq from 20 to 15m from 10-11hr (M-F)","- December 2016, Reroute due to Evergreen Extension; Maintain service btwn Burquitlam Stn and SFU; Discontinue segment btwn Burquitlam Stn and Coquitlam Central Stn to be served by 151",0,0,0,0,0,0,0
144,SFU/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,"55,000","20,000",http://infomaps.translink.ca/Public_Timetables/148/tt144.pdf,400m,17.9,,0,0,0,0,0,0,0,0,0
145,SFU/PRODUCTION STN,Burnaby/New Westminster,Artic. Bus,All Day Frequent,"7,000","5,000",http://infomaps.translink.ca/Public_Timetables/148/tt145.pdf,400m,8,,"- Fall 2018, Decrease service 07:00-11:00 from every 3-6 to 4-5 min, and increase service 11:00-16:00 from every 8 to 6-7 min (M-F); All-door boarding introduced at SFU tunnel",0,0,0,0,0,0,0,0
146,METROTOWN STN/SUNCREST,Burnaby/New Westminster,Mini-Bus,Standard,"30,000","14,000",http://infomaps.translink.ca/Public_Timetables/148/tt146.pdf,400m,3.1, Limited data sampling 2015 ,"- Fall 2018, Change route name from C6 to 146",0,0,0,0,0,0,0,0
147,METROTOWN STN/EDMONDS STN,Burnaby/New Westminster,Mini-Bus,Peak Frequent,"53,000","17,000",http://infomaps.translink.ca/Public_Timetables/148/tt147.pdf,400m,6.6, Limited data sampling 2015 ,"- Winter 2017, Increase service 06:00-08:30 EB from every 30 to 15 min (M-F)","- Fall 2018, Change route name from C7 to 147",0,0,0,0,0,0,0
148,ROYAL OAK STN/EDMONDS STN,Burnaby/New Westminster,Mini-Bus,Peak Frequent,"34,000","8,000",http://infomaps.translink.ca/Public_Timetables/148/tt148.pdf,400m,6.2, Limited data sampling 2015 ,"- Winter 2017, Increase service 06:00-09:00 EB from every 30 to 15 min (M-F)","- Fall 2018, Change route name from C5 to 148",0,0,0,0,0,0,0
150,COQUITLAM CENTRAL STN/WHITE PINE BEACH,Northeast Sector,Std. Bus,Special,"22,000","10,000",http://infomaps.translink.ca/Public_Timetables/148/tt150.pdf,400m,, Route is summer seasonal only; No data 2014-2016; Low data sampling on Saturdays 2018 ,0,0,0,0,0,0,0,,
151,COQUITLAM CENTRAL STN/BURQUITLAM STN,Northeast Sector,Std. Bus,Standard,"44,000","15,000",http://infomaps.translink.ca/Public_Timetables/148/tt151.pdf,400m,8.9, Data reflects Evergreen Extension changes in Dec 2016 ,"- December 2016, Reroute due to Evergreen Extension; Reroute btwn Burquitlam Stn and Coquitlam Central Stn via Como Lake Ave to serve discontinued 143 segment; Discontinue service south of Como Lake Ave to be served by 157",,0,0,0,0,0,0,0
152,COQUITLAM CENTRAL STN/LOUGHEED STN,Northeast Sector,Std. Bus,Peak Frequent,"47,000","16,000",http://infomaps.translink.ca/Public_Timetables/148/tt152.pdf,400m,11.9,,0,0,0,0,0,0,0,0,0
153,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Peak Frequent,"30,000","13,000",http://infomaps.translink.ca/Public_Timetables/148/tt153.pdf,400m,11.5, Data reflects Evergreen Extension changes in Dec 2016 ,"- December 2016, Reroute due to Evergreen Extension; Extend terminus from Poirier Community Centre to Coquitlam Central Stn","- April 2017, Increase service from 30 to 15m during AM/PM peak (M-F)","- Fall 2018, Route converted from community shuttle to conventional bus",0,0,0,0,0,0
155,BRAID STN/22ND STREET STN,Burnaby/New Westminster,Std. Bus,Standard,"31,000","14,000",http://infomaps.translink.ca/Public_Timetables/148/tt155.pdf,400m,7.5,,0,0,0,0,0,0,0,0,0
156,BRAID STN/LOUGHEED STN,Northeast Sector,Std. Bus,Basic,"51,000","11,000",http://infomaps.translink.ca/Public_Timetables/148/tt156.pdf,400m,15,,"- December 2016, Revise due to Evergreen Extension; Add additional stop at new Burquitlam Stn",0,0,0,0,0,0,0,0
157,BURQUITLAM STN/LOUGHEED STN,Northeast Sector,Mini-Bus,Standard,"43,000","8,000",http://infomaps.translink.ca/Public_Timetables/148/tt157.pdf,400m,10.9, Data reflects Evergreen Extension changes in Dec 2016 ,"- December 2016, Reroute due to Evergreen Extension; Extend terminus from Winslow Ave to Burquitlam Stn via  Foster Ave and Cottonwood Ave to serve discontinued 151 route",0,0,0,0,0,0,0,0
159,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Basic,"33,000","27,000",http://infomaps.translink.ca/Public_Timetables/148/tt159.pdf,400m,18.3, Data reflects Evergreen Extension changes in Dec 2016 ,"- December 2016, Revise due to Evergreen Extension; Run all trips via Pitt River Rd; Discontinue alternate pattern via Meridian Industrial to be served by 175","- September 2017, Extend service to Coquitlam Central Stn from Port Coquitlam Stn","- Fall 2018, Extend trips at WCE times into Port Coquitlam Stn (M-F)",0,0,0,0,0,0
160,PORT COQUITLAM STN/KOOTENAY LOOP,Northeast Sector,Std. Bus,All Day Frequent,"78,000","25,000",http://infomaps.translink.ca/Public_Timetables/148/tt160.pdf,400m,25.7, Data reflects Evergreen Extension changes in Dec 2016 ,"- December 2016, Reroute due to Evergreen Extension; Shorten WB terminus from Burrard Stn to Kootenay Loop; Run all trips via Guildford Way pattern and discontinue pattern via Barnet Hwy to be served by 184 and 185","- June 2017, Increase service to 15m from 0600-2100 M-F, 0700-2100 Sat, 0800-2100 S/H, to make part of FTN",0,0,0,0,0,0,0
169,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Mini-Bus,Standard,"16,000","15,000",http://infomaps.translink.ca/Public_Timetables/148/tt169.pdf,400m,11.3, Data reflects Evergreen Extension changes in Dec 2016 ,"- December 2016, Reroute due to Evergreen Extension; Run all trips via Riverview Hospital Grounds pattern and discontinue pattern via Lougheed Hwy","- Fall 2018, Route converted from conventional bus to community shuttle (M-F)",0,0,0,0,0,0,0
170,PORT COQUITLAM STN/PORT COQUITLAM SOUTH,Northeast Sector,Mini-Bus,Peak Frequent,"16,000","5,000",http://infomaps.translink.ca/Public_Timetables/148/tt170.pdf,400m,4.1,,"- December 2016, Revise due to Evergreen Extension; Renumber former C36 as new 170",0,0,0,0,0,0,0,0
